sn,symbol,ltp,point change,open,high,low,volume,close

161,NFS,324.00,-9.00,-2.70,330.00,334.00,322.10,"28,380.00",333.00
162,NGPL,227.00,-8.00,-3.40,239.70,242.00,225.50,"147,891.00",235.00
163,NHDL,382.00,-13.00,-3.29,395.00,402.00,378.30,"48,424.00",395.00
164,NHPC,165.00,-4.50,-2.65,171.50,172.50,165.00,"215,285.00",169.50
165,NIBD2082,"1,030.00",10.00,0.98,"1,024.70","1,030.00","1,024.70",120.00,"1,020.00"
166,NIBD84,877.00,17.00,1.98,860.00,877.00,860.00,35.00,860.00
167,NIBLGF,8.16,0.02,0.25,8.06,8.29,8.00,"35,466.00",8.14
168,NIBLPF,9.16,0.02,0.22,9.12,9.34,9.12,"16,809.00",9.14
169,NIBSF2,7.52,-0.18,-2.34,7.70,7.85,7.45,"22,850.00",7.70
170,NICA,532.00,-13.00,-2.39,545.00,555.00,530.00,"96,029.00",545.00
171,NICAD8283,"1,057.00",25.89,2.51,"1,040.00","1,057.00","1,040.00",180.00,"1,031.11"
172,NICBF,8.50,-0.25,-2.86,8.59,8.60,8.50,"55,060.00",8.75
173,NICFC,8.68,0.01,0.12,8.52,8.83,8.52,"48,230.00",8.67
174,NICGF,9.00,-0.55,-5.76,9.55,9.55,9.00,"55,260.00",9.55
175,NICL,893.50,23.50,2.70,868.90,902.00,855.00,"96,557.00",870.00
176,NICLBSL,649.00,-15.00,-2.26,660.00,660.00,636.10,"13,513.00",664.00
177,NICSF,8.90,-0.15,-1.66,9.00,9.02,8.87,"9,073.00",9.05
178,NIFRA,224.00,-10.60,-4.52,234.60,237.20,222.60,"284,213.00",234.60
179,NIL,858.00,-18.00,-2.05,872.00,876.00,855.00,"16,482.00",876.00
180,NIMB,184.00,-4.30,-2.28,185.20,189.00,184.00,"100,795.00",188.30
181,NIMBPO,152.00,-1.00,-0.65,155.00,155.00,148.00,"17,951.00",153.00
182,NLBBL,620.00,-40.00,-6.06,650.00,668.00,620.00,"3,866.00",660.00
183,NLG,854.00,-20.00,-2.29,866.10,870.00,848.80,"18,706.00",874.00
184,NLIC,707.00,-11.60,-1.61,732.90,732.90,703.00,"70,475.00",718.60
185,NLICL,629.00,-21.00,-3.23,641.00,650.00,625.00,"43,354.00",650.00
186,NMB,208.90,-4.10,-1.92,214.00,215.00,208.90,"66,169.00",213.00
187,NMB50,9.23,-0.48,-4.94,9.70,9.70,9.20,"26,515.00",9.71
188,NMBMF,563.00,-2.00,-0.35,556.00,565.00,550.00,"5,860.00",565.00
189,NMFBS,"1,150.00",-14.50,-1.25,"1,141.30","1,185.00","1,117.20","5,161.00","1,164.50"
190,NRIC,703.00,-22.90,-3.15,725.00,730.00,701.70,"65,276.00",725.90
191,NRM,467.10,42.40,9.98,433.10,467.10,418.00,"264,077.00",424.70
192,NRN,452.30,35.40,8.49,425.00,458.50,425.00,"209,345.00",416.90
193,NSIF2,8.82,-0.10,-1.12,8.75,8.92,8.75,"2,050.00",8.92
194,NTC,940.10,-8.90,-0.94,960.00,977.00,934.00,"76,644.00",949.00
195,NUBL,643.00,-7.10,-1.09,663.00,663.00,632.10,"22,642.00",650.10
196,NWCL,229.60,20.80,9.96,208.80,229.60,208.80,995.00,208.80
197,NYADI,255.00,-14.80,-5.49,264.90,265.00,255.00,"8,929.00",269.80
198,OHL,826.00,-39.00,-4.51,858.10,865.00,825.00,"14,222.00",865.00
199,PBD88,999.60,19.60,2.00,969.00,999.60,969.00,175.00,980.00
200,PCBL,207.90,-3.20,-1.52,215.00,215.00,205.00,"101,152.00",211.10
201,PFL,360.30,-12.80,-3.43,365.70,370.00,356.00,"26,538.00",373.10
202,PHCL,297.00,-12.00,-3.88,303.00,306.00,292.10,"31,474.00",309.00
203,PMHPL,224.00,-12.50,-5.29,231.80,240.00,222.60,"41,850.00",236.50
204,PMLI,601.80,-12.10,-1.97,615.00,617.00,585.00,"23,695.00",613.90
205,PPCL,234.80,-3.20,-1.34,235.00,242.00,230.20,"21,835.00",238.00
206,PPL,265.00,-6.00,-2.21,266.10,276.00,259.70,"25,695.00",271.00
207,PRIN,819.00,-2.20,-0.27,836.00,836.00,801.00,"58,075.00",821.20
208,PROFL,315.00,-13.00,-3.96,334.00,340.00,314.60,"80,661.00",328.00
209,PRSF,8.58,-0.02,-0.23,8.50,8.87,8.50,"82,500.00",8.60
210,PRVU,171.00,-6.00,-3.39,177.00,177.00,170.40,"160,473.00",177.00
211,PSF,8.70,0.10,1.16,8.50,8.70,8.16,"27,870.00",8.60
212,RADHI,239.00,0.00,0.00,242.00,249.90,238.10,"164,856.00",239.00
